type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase
DDR4-1.3333333,50,380,16843859670.164917,86.76190476190476,52.857142857142854
DDR4-1.3333333,50,450,15049374512.74363,85.96949471612544,51.904761904761905
DDR4-1.3333333,50,550,13133385307.346327,85.65781029392889,50.95238095238095
DDR4-1.3333333,50,600,12490938530.734632,85.41475340136054,51.904761904761905
DDR4-1.3333333,50,700,11293495652.173914,84.9092407149195,50.476190476190474
DDR4-1.3333333,50,800,10133733133.433283,84.66772298981704,51.904761904761905
DDR4-1.3333333,50,900,9272323838.080961,84.2649701856051,51.904761904761905
DDR4-1.3333333,50,1000,8569897451.274363,83.71470305913776,50.0
DDR4-1.3333333,50,2000,5009405697.151423,82.25272518646013,49.52380952380952
DDR4-1.3333333,50,10000,1803418290.8545728,76.62309867767331,42.857142857142854
DDR4-1.3333333,60,0,107668504947.52623,213.59130527210885,198.57142857142856
DDR4-1.3333333,60,5,104976004797.60121,171.65552721088434,144.28571428571428
DDR4-1.3333333,60,10,100932183508.24586,152.5142857142857,118.09523809523809
DDR4-1.3333333,60,15,90363211994.00299,126.18776769967246,95.23809523809524
DDR4-1.3333333,60,20,84915545427.28636,119.68039145482753,85.71428571428571
DDR4-1.3333333,60,25,79910908545.72714,113.0830943947827,79.52380952380952
DDR4-1.3333333,60,30,77888259070.46477,110.03176431863068,75.71428571428571
DDR4-1.3333333,60,35,75730537931.03448,108.7037576935536,76.19047619047619
DDR4-1.3333333,60,40,68657779910.04498,102.8554038156616,69.04761904761905
DDR4-1.3333333,60,45,62824040779.6102,98.78852410529429,65.71428571428571
DDR4-1.3333333,60,50,61146022188.905556,98.68436360051267,64.28571428571428
DDR4-1.3333333,60,55,59647875262.36882,97.53206997084547,64.76190476190476
DDR4-1.3333333,60,60,58285807496.25188,97.01896077579967,63.80952380952381
DDR4-1.3333333,60,65,56464522938.53073,96.2406821883683,62.857142857142854
